,participant,session,order,start,end,start_hms,end_hms,place,activity,,,participant,session,items_uniq,order,start,end,start_hms,end_hms,type
159,4,reg,161,1422,1426,23M 42S,23M 46S,,,,,,,,,,,,,
160,5,reg,27,422,726,7M 2S,12M 6S,,,,,,,,,,,,,
161,6,reg,60,852,856,14M 12S,14M 16S,,,,,,,,,,,,,
162,6,reg,72,1054,1056,17M 34S,17M 36S,,,,,,,,,,,,,
163,6,reg,75,1072,1084,17M 52S,18M 4S,,,,,,,,,,,,,
164,6,reg,78,1088,1092,18M 8S,18M 12S,,,,,,,,,,,,,
165,6,reg,82,1100,1108,18M 20S,18M 28S,,,,,,,,,,,,,
166,6,reg,87,1140,1146,19M 0S,19M 6S,,,,,,,,,,,,,
167,6,reg,91,1154,1156,19M 14S,19M 16S,,,,,,,,,,,,,
168,6,reg,93,1198,1240,19M 58S,20M 40S,,,,,,,,,,,,,
169,6,reg,104,1346,1350,22M 26S,22M 30S,,,,,,,,,,,,,
170,6,reg,106,1354,1374,22M 34S,22M 54S,,,,,,,,,,,,,
171,6,reg,111,1394,1396,23M 14S,23M 16S,,,,,,,,,,,,,
172,6,reg,113,1412,1418,23M 32S,23M 38S,,,,,,,,,,,,,
173,6,reg,120,1464,1466,24M 24S,24M 26S,,,,,,,,,,,,,
174,6,reg,127,1520,1534,25M 20S,25M 34S,,,,,,,,,,,,,
175,6,reg,137,1570,1578,26M 10S,26M 18S,,,,,,,,,,,,,
176,6,reg,140,1586,1588,26M 26S,26M 28S,,,,,,,,,,,,,
177,6,reg,146,1648,1666,27M 28S,27M 46S,,,,,,,,,,,,,
178,6,reg,149,1810,1822,30M 10S,30M 22S,,,,,,,,,,,,,
179,6,reg,155,1840,1868,30M 40S,31M 8S,,,,,,,,,,,,,
180,6,reg,163,1910,1932,31M 50S,32M 12S,,,,,,,,,,,,,
181,6,reg,165,1938,1964,32M 18S,32M 44S,,,,,,,,,,,,,
182,6,reg,170,1974,2006,32M 54S,33M 26S,,,,,,,,,,,,,
183,6,reg,174,2022,2024,33M 42S,33M 44S,,,,,,,,,,,,,
184,6,reg,176,2030,2076,33M 50S,34M 36S,,,,,,,,,,,,,
185,6,reg,181,2104,2126,35M 4S,35M 26S,,,,,,,,,,,,,
186,6,reg,184,2148,2226,35M 48S,37M 6S,,,,,,,,,,,,,
187,6,reg,200,2312,2328,38M 32S,38M 48S,,,,,,,,,,,,,
188,6,reg,202,2336,2426,38M 56S,40M 26S,,,,,,,,,,,,,
189,6,reg,215,2552,2570,42M 32S,42M 50S,,,,,,,,,,,,,
190,8,reg,12,154,160,2M 34S,2M 40S,,,,,,,,,,,,,
191,8,reg,23,242,258,4M 2S,4M 18S,,,,,,,,,,,,,
192,8,reg,30,326,346,5M 26S,5M 46S,,,,,,,,,,,,,
193,8,reg,40,416,420,6M 56S,7M 0S,,,,,,,,,,,,,
194,8,reg,46,458,462,7M 38S,7M 42S,,,,,,,,,,,,,
195,8,reg,61,548,552,9M 8S,9M 12S,,,,,,,,,,,,,
196,8,reg,62,554,564,9M 14S,9M 24S,,,,,,,,,,,,,
197,8,reg,68,578,596,9M 38S,9M 56S,,,,,,,,,,,,,
198,8,reg,96,752,766,12M 32S,12M 46S,,,,,,,,,,,,,
199,8,reg,118,916,926,15M 16S,15M 26S,,,,,,,,,,,,,
200,8,reg,130,1024,1036,17M 4S,17M 16S,,,,,,,,,,,,,
201,8,reg,132,1042,1048,17M 22S,17M 28S,,,,,,,,,,,,,
202,8,reg,137,1068,1072,17M 48S,17M 52S,,,,,,,,,,,,,
203,8,reg,152,1180,1210,19M 40S,20M 10S,,,,,,,,,,,,,
204,8,reg,166,1284,1314,21M 24S,21M 54S,,,,,,,,,,,,,
205,8,reg,175,1344,1352,22M 24S,22M 32S,,,,,,,,,,,,,
206,8,reg,207,1640,1690,27M 20S,28M 10S,,,,,,,,,,,,,
207,9,reg,70,506,510,8M 26S,8M 30S,,,,,,,,,,,,,
208,9,reg,76,514,516,8M 34S,8M 36S,,,,,,,,,,,,,
209,9,reg,127,918,920,15M 18S,15M 20S,,,,,,,,,,,,,
210,9,reg,130,964,968,16M 4S,16M 8S,,,,,,,,,,,,,
211,9,reg,141,1018,1026,16M 58S,17M 6S,,,,,,,,,,,,,
212,9,reg,143,1034,1038,17M 14S,17M 18S,,,,,,,,,,,,,
213,9,reg,144,1044,1048,17M 24S,17M 28S,,,,,,,,,,,,,
214,9,reg,162,1136,1210,18M 56S,20M 10S,,,,,,,,,,,,,
215,9,reg,169,1216,1228,20M 16S,20M 28S,,,,,,,,,,,,,
216,9,reg,176,1236,1300,20M 36S,21M 40S,,,,,,,,,,,,,
217,9,reg,180,1302,1314,21M 42S,21M 54S,,,,,,,,,,,,,
218,9,reg,185,1316,1358,21M 56S,22M 38S,,,,,,,,,,,,,
219,9,reg,209,1436,1490,23M 56S,24M 50S,,,,,,,,,,,,,
220,9,reg,226,1504,1530,25M 4S,25M 30S,,,,,,,,,,,,,
221,9,reg,244,1586,1598,26M 26S,26M 38S,,,,,,,,,,,,,
222,9,reg,251,1628,1664,27M 8S,27M 44S,,,,,,,,,,,,,
223,9,reg,254,1700,1708,28M 20S,28M 28S,,,,,,,,,,,,,
224,9,reg,257,1712,1724,28M 32S,28M 44S,,,,,,,,,,,,,
225,9,reg,265,1760,1792,29M 20S,29M 52S,,,,,,,,,,,,,
226,9,reg,272,1826,1868,30M 26S,31M 8S,,,,,,,,,,,,,
227,9,reg,279,1900,1936,31M 40S,32M 16S,,,,,,,,,,,,,
228,9,reg,283,1964,1978,32M 44S,32M 58S,,,,,,,,,,,,,
229,9,reg,288,2008,2030,33M 28S,33M 50S,,,,,,,,,,,,,
230,9,reg,291,2056,2084,34M 16S,34M 44S,,,,,,,,,,,,,
