,participant,session,order,start,end,start_hms,end_hms,place_1,place_2,activity,comment
216,14,reg,488,3946,3964,1H 5M 46S,1H 6M 4S,,,,
217,14,reg,500,4032,4034,1H 7M 12S,1H 7M 14S,,,,
218,14,reg,502,4036,4104,1H 7M 16S,1H 8M 24S,,,,
219,14,reg,511,4126,4134,1H 8M 46S,1H 8M 54S,,,,
220,14,reg,516,4214,4220,1H 10M 14S,1H 10M 20S,,,,
221,15,reg,2,0,16,0S,16S,,,,
222,15,reg,3,0,16,0S,16S,,,,
223,15,reg,32,206,208,3M 26S,3M 28S,,,,
224,15,reg,33,206,208,3M 26S,3M 28S,,,,
225,15,reg,38,216,234,3M 36S,3M 54S,,,,
226,15,reg,51,240,256,4M 0S,4M 16S,,,,
227,15,reg,60,266,280,4M 26S,4M 40S,,,,
228,15,reg,79,366,370,6M 6S,6M 10S,,,,
229,15,reg,278,1288,1292,21M 28S,21M 32S,,,,
230,15,reg,295,1352,1370,22M 32S,22M 50S,,,,
231,15,reg,299,1388,1394,23M 8S,23M 14S,,,,
232,15,reg,406,2100,2104,35M 0S,35M 4S,,,,
233,15,reg,408,2106,2112,35M 6S,35M 12S,,,,
234,15,reg,417,2160,2162,36M 0S,36M 2S,,,,
235,15,reg,426,2184,2192,36M 24S,36M 32S,,,,
236,15,reg,432,2204,2212,36M 44S,36M 52S,,,,
237,15,reg,494,2884,2890,48M 4S,48M 10S,,,,
238,17,reg,313,3156,3160,52M 36S,52M 40S,,,,
239,17,reg,323,3204,3208,53M 24S,53M 28S,,,,
240,17,reg,595,5134,5160,1H 25M 34S,1H 26M 0S,,,,
241,17,reg,596,5140,5148,1H 25M 40S,1H 25M 48S,,,,
242,17,reg,609,5310,5312,1H 28M 30S,1H 28M 32S,,,,
243,17,reg,614,5376,5394,1H 29M 36S,1H 29M 54S,,,,
244,17,reg,617,5412,5414,1H 30M 12S,1H 30M 14S,,,,
245,17,reg,623,5480,5486,1H 31M 20S,1H 31M 26S,,,,
246,17,reg,627,5498,5518,1H 31M 38S,1H 31M 58S,,,,
247,18,reg,15,104,112,1M 44S,1M 52S,,,,
248,18,reg,101,492,534,8M 12S,8M 54S,,,,
249,18,reg,114,558,578,9M 18S,9M 38S,,,,
250,18,reg,125,610,642,10M 10S,10M 42S,,,,
251,18,reg,142,666,670,11M 6S,11M 10S,,,,
252,18,reg,156,692,704,11M 32S,11M 44S,,,,
253,18,reg,165,706,710,11M 46S,11M 50S,,,,
254,18,reg,169,712,718,11M 52S,11M 58S,,,,
255,18,reg,174,720,726,12M 0S,12M 6S,,,,
256,18,reg,186,752,790,12M 32S,13M 10S,,,,
257,18,reg,259,1318,1332,21M 58S,22M 12S,,,,
258,18,reg,268,1336,1388,22M 16S,23M 8S,,,,
259,18,reg,286,1390,1438,23M 10S,23M 58S,,,,
260,18,reg,296,1442,1474,24M 2S,24M 34S,,,,
261,18,reg,304,1492,1524,24M 52S,25M 24S,,,,
262,18,reg,314,1530,1540,25M 30S,25M 40S,,,,
263,18,reg,343,1654,1656,27M 34S,27M 36S,,,,
264,18,reg,529,2330,2378,38M 50S,39M 38S,,,,
265,20,reg,40,252,276,4M 12S,4M 36S,,,,
266,20,reg,95,600,602,10M 0S,10M 2S,,,,
267,20,reg,96,614,616,10M 14S,10M 16S,,,,
268,20,reg,98,682,684,11M 22S,11M 24S,,,,
269,20,reg,99,696,698,11M 36S,11M 38S,,,,
270,20,reg,100,714,716,11M 54S,11M 56S,,,,
271,20,reg,101,732,734,12M 12S,12M 14S,,,,
272,20,reg,102,736,738,12M 16S,12M 18S,,,,
273,20,reg,112,790,792,13M 10S,13M 12S,,,,
274,20,reg,115,798,802,13M 18S,13M 22S,,,,
275,20,reg,118,812,822,13M 32S,13M 42S,,,,
276,20,reg,123,834,870,13M 54S,14M 30S,,,,
277,20,reg,219,1656,1668,27M 36S,27M 48S,,,,
278,20,reg,247,1890,1894,31M 30S,31M 34S,,,,
279,20,reg,262,2002,2010,33M 22S,33M 30S,,,,
280,20,reg,284,2038,2044,33M 58S,34M 4S,,,,
281,20,reg,290,2068,2072,34M 28S,34M 32S,,,,
282,20,reg,312,2224,2240,37M 4S,37M 20S,,,,
